ACE Child Care Centre,"2 Renshaw Street, DONCASTER EAST, VIC 3109",DONCASTER EAST,3109,Centre-Based Care,34
Ada Mary A'beckett Children's Centre Inc,"7 Cumberland Road, PORT MELBOURNE, VIC 3207",PORT MELBOURNE,3207,Centre-Based Care,142
Adass Israel Preschool,"10-12 King Street, ELSTERNWICK, VIC 3185",ELSTERNWICK,3185,Centre-Based Care,148
Adventurous Family Day Care,"54 Everard St, GLENROY, VIC 3046",GLENROY,3046,Family Day Care,
Affordable Family Day Care,"107 Foster Street, DANDENONG, VIC 3175",DANDENONG,3175,Family Day Care,
After The Bell Aus- Bayswater Primary School,"Bayswater Primary School  2 Birch St, BAYSWATER, VIC 3153",BAYSWATER,3153,Centre-Based Care,30
After The Bell Aus- Bulleen Heights School,"49-61 Pleasant Rd, BULLEEN, VIC 3105",BULLEEN,3105,Centre-Based Care,30
After The Bell Aus- Craigieburn North West Primary School,"202-226 Newbury Bvd, CRAIGIEBURN, VIC 3064",CRAIGIEBURN,3064,Centre-Based Care,45
After The Bell Aus- Drouin PS,"Drouin Primary School  153-161 Princes Way, DROUIN, VIC 3818",DROUIN,3818,Centre-Based Care,45
After The Bell Aus- Eastwood PS,"Alexandra Road, RINGWOOD EAST, VIC 3135",RINGWOOD EAST,3135,Centre-Based Care,45
After The Bell Aus- Emerald Scout Hall,"21 Kilvington Dr, EMERALD, VIC 3782",EMERALD,3782,Centre-Based Care,30
After The Bell Aus- Ferny Creek PS,"School Road, FERNY CREEK, VIC 3786",FERNY CREEK,3786,Centre-Based Care,30
After The Bell Aus- Grahamvale PS,"Grahamvale Primary School  85 Grahamvale Rd, GRAHAMVALE, VIC 3631",GRAHAMVALE,3631,Centre-Based Care,45
After The Bell Aus- Grey Street PS,"30-44 Grey Street, TRARALGON, VIC 3844",TRARALGON,3844,Centre-Based Care,60
After The Bell Aus- Mater Christi College,"Mater Christi College  28 Bayview Rd, BELGRAVE, VIC 3160",BELGRAVE,3160,Centre-Based Care,45
After The Bell Aus- Moe South Street PS,"1 South Street, MOE, VIC 3825",MOE,3825,Centre-Based Care,45
After The Bell Aus- Morwell Central Primary School,"1 McDonald St, MORWELL, VIC 3840",MORWELL,3840,Centre-Based Care,30
After The Bell Aus- Pembroke PS,"Pembroke Road, MOOROOLBARK, VIC 3138",MOOROOLBARK,3138,Centre-Based Care,30
After The Bell Aus- St Paul's,"59 Moores Road, MONBULK, VIC 3793",MONBULK,3793,Centre-Based Care,30
After The Bell Aus- Tatura PS,"Albert Street, TATURA, VIC 3616",TATURA,3616,Centre-Based Care,45
After The Bell Aus- Yarragon PS,"65 Loch St, YARRAGON, VIC 3823",YARRAGON,3823,Centre-Based Care,45
Ainslie Parklands Primary School OSHC,"Hinkley Avenue, CROYDON, VIC 3136",CROYDON,3136,Centre-Based Care,30
Airport West Early Learning Co-operative,"4 Clydesdale Road, AIRPORT WEST, VIC 3042",AIRPORT WEST,3042,Centre-Based Care,48
Airport West Kindergarten,"97 McNamara Avenue, AIRPORT WEST, VIC 3042",AIRPORT WEST,3042,Centre-Based Care,30
AL IMAN COLLEGE - EARLY LEARNING CENTRE,"Al Iman College  20-40 Rees Rd, MELTON SOUTH, VIC 3338",MELTON SOUTH,3338,Centre-Based Care,30
Al Nur Family Day Care Pty Ltd,"14 Sunnyside Ave,, DANDENONG, VIC 3175",DANDENONG,3175,Family Day Care,
AL Raja Family Day Care,"Suite 4, 494 High Street, EPPING, VIC 3076",EPPING,3076,Family Day Care,
Alamanda Kindergarten,"21 Prudence Parade, POINT COOK, VIC 3030",POINT COOK,3030,Centre-Based Care,99
Albanvale Community Kindergarten,"44 Diamond Avenue, ST ALBANS, VIC 3021",ST ALBANS,3021,Centre-Based Care,30
Albany Rise Primary School OSHClub,"Albany Drive, MULGRAVE, VIC 3170",MULGRAVE,3170,Centre-Based Care,60
Albert Park Preschool Centre,"18 Dundas Place, ALBERT PARK, VIC 3206",ALBERT PARK,3206,Centre-Based Care,24
Albion Kindergarten,"33 Derrimut Street, ALBION, VIC 3020",ALBION,3020,Centre-Based Care,28
Alchester Village Preschool,"30 Lockwoods Road, BORONIA, VIC 3155",BORONIA,3155,Centre-Based Care,30
Alexander Magit Kindergarten,"11 Harwell Road, FERNTREE GULLY, VIC 3156",FERNTREE GULLY,3156,Centre-Based Care,29
Alexander Thomson Preschool,"48 Thomson Street, BELMONT, VIC 3216",BELMONT,3216,Centre-Based Care,84
Alexandra & District Kindergarten,"15 Bayley Street, ALEXANDRA, VIC 3714",ALEXANDRA,3714,Centre-Based Care,24
Alexandra Avenue Children's Centre,"31 Alexandra Avenue, SUNSHINE, VIC 3020",SUNSHINE,3020,Centre-Based Care,63
Alexandra Baby Care,"13 Coster Street, ALEXANDRA, VIC 3714",ALEXANDRA,3714,Centre-Based Care,29
Alexandra Street Kindergarten,"Cnr Alexandra Street and Morrell Street, MOOROOPNA, VIC 3629",MOOROOPNA,3629,Centre-Based Care,29
Alfred Child Care Centre,"11 Alfred Lane, MELBOURNE, VIC 3004",MELBOURNE,3004,Centre-Based Care,60
Alfred Nuttall Memorial Kindergarten,"34 Separation Street, FAIRFIELD, VIC 3078",FAIRFIELD,3078,Centre-Based Care,29
Alfred Road Kindergarten,"48A Alfred Road, GLEN IRIS, VIC 3146",GLEN IRIS,3146,Centre-Based Care,30
Alfredton Early Learning & Kinder,"83 Elaine Avenue, ALFREDTON, VIC 3350",ALFREDTON,3350,Centre-Based Care,60
Alfredton Preschool,"6 Balyarta Street, ALFREDTON, VIC 3350",ALFREDTON,3350,Centre-Based Care,48
Alice Johnson Kindergarten,"Park Boulevard, FERNTREE GULLY, VIC 3156",FERNTREE GULLY,3156,Centre-Based Care,28
All For Kids Family Day Care Pty Ltd,"76 Doveton Ave, EUMEMMERRING, VIC 3177",EUMEMMERRING,3177,Family Day Care,
All Saints Preschool Yarra Junction Inc,"2438 Warburton Highway, YARRA JUNCTION, VIC 3797",YARRA JUNCTION,2438,Centre-Based Care,25
Allansford & District Preschool,"82 Ziegler Parade, ALLANSFORD, VIC 3277",ALLANSFORD,3277,Centre-Based Care,52
Allanvale Preschool,"28 Allanvale Avenue, LEOPOLD, VIC 3224",LEOPOLD,3224,Centre-Based Care,71
Allara Kindergarten,"15-17 Gleneagles Drive, ENDEAVOUR HILLS, VIC 3802",ENDEAVOUR HILLS,3802,Centre-Based Care,30
Allora Kindergarten,"1 Symmons Street, LEONGATHA, VIC 3953",LEONGATHA,3953,Centre-Based Care,27
Allura Family Day Care,"40 Orlando Drive, TRUGANINA, VIC 3029",TRUGANINA,3029,Family Day Care,
Aloha Gardens Early Learning & Kinder,"14 Aloha Gardens, TEMPLESTOWE, VIC 3106",TEMPLESTOWE,3106,Centre-Based Care,60
Alpha Children's Centre,"8 Corsair Street, RICHMOND, VIC 3121",RICHMOND,3121,Centre-Based Care,55
Alphington Grammar Preschool,"18 Old Heidelberg Road, ALPHINGTON, VIC 3078",ALPHINGTON,3078,Centre-Based Care,40
Alphington Primary School OSHClub,"Yarralea Street, ALPHINGTON, VIC 3078",ALPHINGTON,3078,Centre-Based Care,120
Alpine Family Day Care,"23 Deacon Avenue,, BRIGHT, VIC 3741",BRIGHT,3741,Family Day Care,
Alpine View Children's Centre,"23 Deacon Ave, BRIGHT, VIC 3741",BRIGHT,3741,Centre-Based Care,123
Alto Early Learning,"24-26 Malcolm Rd, LANGWARRIN, VIC 3910",LANGWARRIN,3910,Centre-Based Care,45
Altona Early Education Centre,"40 Sargood St, ALTONA, VIC 3018",ALTONA,3018,Centre-Based Care,68
Altona Gate Kindergarten,"80 Walker Close, ALTONA NORTH, VIC 3025",ALTONA NORTH,3025,Centre-Based Care,30
Altona Kindergarten,"89 Blyth Street, ALTONA, VIC 3018",ALTONA,3018,Centre-Based Care,30
Altona Meadows Family Day Care,"Se 104a  144-148 Nicholson St, FOOTSCRAY, VIC 3011",FOOTSCRAY,3011,Family Day Care,
Altona Meadows Kindergarten,"65-71 Powlett Street, ALTONA MEADOWS, VIC 3028",ALTONA MEADOWS,3028,Centre-Based Care,30
Altona North Early Childhood Centre,"30 Ronald Avenue, ALTONA NORTH, VIC 3025",ALTONA NORTH,3025,Centre-Based Care,58
Altona Primary School OSHC,"109 Blyth Street, ALTONA, VIC 3018",ALTONA,3018,Centre-Based Care,100
Amaary Family Day Care,"21 Clarendon Ave, CRAIGIEBURN, VIC 3064",CRAIGIEBURN,3064,Family Day Care,
Amaroo Child Care Centre,"65 Dorset Road, FERNTREE GULLY, VIC 3156",FERNTREE GULLY,3156,Centre-Based Care,100
Amberly Park World of Learning,"2-4 Amberly Park Drive, NARRE WARREN, VIC 3805",NARRE WARREN,3805,Centre-Based Care,58
Amici - Westbourne Early Learning Centre,"300 Sayers Road, HOPPERS CROSSING, VIC 3029",HOPPERS CROSSING,3029,Centre-Based Care,98
Amiga Montessori Alamanda,"SOHO Village, Sneydes Road, POINT COOK, VIC 3030",POINT COOK,3030,Centre-Based Care,70
Amiga Montessori Beveridge,"lot S3  Lithgow St, BEVERIDGE, VIC 3753",BEVERIDGE,3753,Centre-Based Care,111
Amiga Montessori Frankston North,"15 Alpina St, FRANKSTON NORTH, VIC 3200",FRANKSTON NORTH,3200,Centre-Based Care,134
AMIGA Montessori Greens Rd Wyndham Vale,"163-173 Greens Rd, WYNDHAM VALE, VIC 3024",WYNDHAM VALE,3024,Centre-Based Care,137
Amiga Montessori Laverton,"1-19 Thomas St, LAVERTON, VIC 3028",LAVERTON,3028,Centre-Based Care,137
Amiga Montessori Pakenham,"lot 2 1031  Atlantic Dr, PAKENHAM, VIC 3810",PAKENHAM,1031,Centre-Based Care,120
AMIGA Montessori Reservoir,"117 Edwardes St, RESERVOIR, VIC 3073",RESERVOIR,3073,Centre-Based Care,80
Amsleigh Park Primary School OSHC,"19 State St, OAKLEIGH EAST, VIC 3166",OAKLEIGH EAST,3166,Centre-Based Care,55
AMZ FAMILY DAY CARE,"32 Drover Ave, WYNDHAM VALE, VIC 3024",WYNDHAM VALE,3024,Family Day Care,
Anakie Primary After School Care,"2125-2135 Ballan Road, ANAKIE, VIC 3213",ANAKIE,2125,Centre-Based Care,15
Anderson Road Child Care Centre,"145 Anderson Road, ALBION, VIC 3020",ALBION,3020,Centre-Based Care,95
Anderson's Creek Primary School,"Drysdale Road, WARRANDYTE, VIC 3113",WARRANDYTE,3113,Centre-Based Care,55
Andersons Creek Road Early Learning & Kinder,"160 Anderson Creek Road, DONCASTER EAST, VIC 3109",DONCASTER EAST,3109,Centre-Based Care,62
Andrews Community Kindergarten,"210 Henty Way, PAKENHAM, VIC 3810",PAKENHAM,3810,Centre-Based Care,30
Anglesea Kindergarten,"McMillan Street, ANGLESEA, VIC 3230",ANGLESEA,3230,Centre-Based Care,55
Anglesea Primary School OSHC,"85 Camp Road, ANGLESEA, VIC 3230",ANGLESEA,3230,Centre-Based Care,20
Angliss Children's Centre,"13 Vipont St, FOOTSCRAY, VIC 3011",FOOTSCRAY,3011,Centre-Based Care,68
Annadale Community Centre,"25-27 Ellscott Boulevard, MICKLEHAM, VIC 3064",MICKLEHAM,3064,Centre-Based Care,33
Anne Sgro Children's Centre,"45-47 May Street, COBURG, VIC 3058",COBURG,3058,Centre-Based Care,82
Annie Dennis Children's Centre,"2-6 Oldis Avenue, NORTHCOTE, VIC 3070",NORTHCOTE,3070,Centre-Based Care,98
Annie Galvin Early Learning Centre,"2 Gladstone Street, BENDIGO, VIC 3550",BENDIGO,3550,Centre-Based Care,68
Antonine Sisters Child Care Centre,"11-13 Barrow Street, COBURG, VIC 3058",COBURG,3058,Centre-Based Care,50
Antrim Day Nursery,"22 Lincoln Road, ESSENDON, VIC 3040",ESSENDON,3040,Centre-Based Care,40
Apex Preschool,"7 Howarth Street, ELLIMINYT, VIC 3250",ELLIMINYT,3250,Centre-Based Care,69
Apollo Bay Child Care Services,"2-4 Pengilley Avenue, APOLLO BAY, VIC 3233",APOLLO BAY,3233,Centre-Based Care,42
Apollo Bay Kindergarten,"69 McLachlan Street, APOLLO BAY, VIC 3233",APOLLO BAY,3233,Centre-Based Care,24
Apollo Parkways P.S. OSHC,"Civic Drive, GREENSBOROUGH, VIC 3088",GREENSBOROUGH,3088,Centre-Based Care,100
Apollo Parkways Preschool,"31 Plenty River Drive, GREENSBOROUGH, VIC 3088",GREENSBOROUGH,3088,Centre-Based Care,30
Appin Park Kindergarten,"69A Appin Street, WANGARATTA, VIC 3677",WANGARATTA,3677,Centre-Based Care,30
Apple Blossoms Early Learning - Mooroopna,"21 Ann Street, MOOROOPNA, VIC 3629",MOOROOPNA,3629,Centre-Based Care,69
APPLE BLOSSOMS EARLY LEARNING - NARRE WARREN,"10 Verdun Drive, NARRE WARREN, VIC 3805",NARRE WARREN,3805,Centre-Based Care,120
Apple Blossoms Early Learning South Melbourne,"219 Dorcas Street, SOUTH MELBOURNE, VIC 3205",SOUTH MELBOURNE,3205,Centre-Based Care,52
APPLES FAMILY DAY CARE PTY. LTD.,"Suite 3  10 Castro Way, DERRIMUT, VIC 3030",DERRIMUT,3030,Family Day Care,
Appletree Hill Kindergarten,"37 Shepherd Road, GLEN WAVERLEY, VIC 3150",GLEN WAVERLEY,3150,Centre-Based Care,30
Ararat 800 OSHC and Vacation Care,"Moore Street, ARARAT, VIC 3377",ARARAT,3377,Centre-Based Care,30
Ararat Early Learning Centre,"37 McNeill Street, ARARAT, VIC 3377",ARARAT,3377,Centre-Based Care,50
Ararat North Kinder Care,"66 Blake Street, ARARAT, VIC 3377",ARARAT,3377,Centre-Based Care,60
Ararat West OSHC and Vacation Care,"George Road, ARARAT, VIC 3377",ARARAT,3377,Centre-Based Care,20
Arbourlea Kindergarten,"75 Wheelers Park Drive, CRANBOURNE NORTH, VIC 3977",CRANBOURNE NORTH,3977,Centre-Based Care,81
Ardeer Primary School,"84 - 114 Suspension Street, ARDEER, VIC 3022",ARDEER,3022,Centre-Based Care,25
Ardlie Street Early Learning & Kinder,"24-26 Ardlie Street, WESTMEADOWS, VIC 3049",WESTMEADOWS,3049,Centre-Based Care,120
Arena Child and Family Centre,"22 Curran Dr, OFFICER, VIC 3809",OFFICER,3809,Centre-Based Care,66
Argyle Road Child Care Centre,"14 Argyle Road, KEW, VIC 3101",KEW,3101,Centre-Based Care,40
Armadale Early Learning Centre,"3 Fulton Street, ARMADALE, VIC 3143",ARMADALE,3143,Centre-Based Care,52
Armadale Primary School OOSHC,"Densham Road, ARMADALE, VIC 3143",ARMADALE,3143,Centre-Based Care,130
Arndell Park Early Childhood Learning Centre,"55 Caradon Drive, TRUGANINA, VIC 3029",TRUGANINA,3029,Centre-Based Care,100
Arndell Park Kindergarten,"29 - 49 Federation Boulevard, TRUGANINA, VIC 3029",TRUGANINA,3029,Centre-Based Care,72
Arnolds Creek Kindergarten,"19 Claret Ash Boulevard, WEST MELTON, VIC 3337",WEST MELTON,3337,Centre-Based Care,71
Arrabri Kindergarten Inc,"Allambanan Drive, BAYSWATER NORTH, VIC 3153",BAYSWATER NORTH,3153,Centre-Based Care,29
Arthur Dickmann Childcare Centre,"104-106 Maude Street, SHEPPARTON, VIC 3630",SHEPPARTON,3630,Centre-Based Care,100
Arthur Mawson Children's Centre,"120 St Georges Road, SHEPPARTON, VIC 3630",SHEPPARTON,3630,Centre-Based Care,30
Ascot Kindergarten,"1 West Street, ASCOT VALE, VIC 3032",ASCOT VALE,3032,Centre-Based Care,30
Ascot Vale Progress Kindergarten,"11 Brown Avenue, ASCOT VALE WEST, VIC 3032",ASCOT VALE WEST,3032,Centre-Based Care,28
Ashley's Family Day Care Scheme,"351 Bell Street, PRESTON, VIC 3072",PRESTON,3072,Family Day Care,
Ashwood Children's Centre,"6-8 Yooralla Street, ASHWOOD, VIC 3147",ASHWOOD,3147,Centre-Based Care,70
Ashwood Memorial Kindergarten,"17A Arthur Street, ASHWOOD, VIC 3147",ASHWOOD,3147,Centre-Based Care,30
Aspendale Gardens Community Service,"103 Kearney Drive, ASPENDALE GARDENS, VIC 3195",ASPENDALE GARDENS,3195,Centre-Based Care,57
Aspendale North Kindergarten,"13 Connewarra Avenue, ASPENDALE, VIC 3195",ASPENDALE,3195,Centre-Based Care,33
Aspire Family Day Care & Training Services Pty Ltd,"304 Camp Rd, BROADMEADOWS, VIC 3047",BROADMEADOWS,3047,Family Day Care,
Assisi Kindergarten Strathfieldsaye,"46 Blucher St, STRATHFIELDSAYE, VIC 3551",STRATHFIELDSAYE,3551,Centre-Based Care,66
Atherton Gardens Outside School Hours Care and Vacation Care,"125 Napier Street, FITZROY, VIC 3065",FITZROY,3065,Centre-Based Care,45
Athol Road Primary School Kindergarten,"159-167 Athol Road, SPRINGVALE SOUTH, VIC 3172",SPRINGVALE SOUTH,3172,Centre-Based Care,66
Athol Road Primary School OSHC,"159-167 Athol Road, SPRINGVALE SOUTH, VIC 3172",SPRINGVALE SOUTH,3172,Centre-Based Care,45
Atong Family Day Care,"U 37 20-22 Roslyn Park Dve, MELTON WEST, VIC 3337",MELTON WEST,3337,Family Day Care,
Attwood Child Care Centre and Kindergarten,"475-485 Mickleham Road, ATTWOOD, VIC 3049",ATTWOOD,3049,Centre-Based Care,45
Auburn Kindergarten & Child Care Centre,"27 Station Street, HAWTHORN EAST, VIC 3123",HAWTHORN EAST,3123,Centre-Based Care,50
Auburn Primary School OSHClub,"Rathmines Road, HAWTHORN EAST, VIC 3123",HAWTHORN EAST,3123,Centre-Based Care,60
Auburn South Preschool,"5 Anderson Road, HAWTHORN EAST, VIC 3123",HAWTHORN EAST,3123,Centre-Based Care,55
Audrey Brooks Preschool,"347 Bell Street, HEIDELBERG WEST, VIC 3081",HEIDELBERG WEST,3081,Centre-Based Care,50
Aurora School Community Kindergarten,"88 Holland Rd, BLACKBURN SOUTH, VIC 3130",BLACKBURN SOUTH,3130,Centre-Based Care,66
Aussie Kids Family Day Care Pty Ltd,"71 B Hamilton St, CRAIGIEBURN, VIC 3064",CRAIGIEBURN,3064,Family Day Care,
Aussie Kindies Early Learning Bacchus Marsh,"Grey Street, BACCHUS MARSH, VIC 3340",BACCHUS MARSH,3340,Centre-Based Care,85
Aussie Kindies Early Learning Cranbourne,"1-3 Ferndown Drive, CRANBOURNE, VIC 3977",CRANBOURNE,3977,Centre-Based Care,120
Aussie Kindies Early Learning Frankston,"20 Reservoir Road, FRANKSTON, VIC 3199",FRANKSTON,3199,Centre-Based Care,65
Aussie Kindies Early Learning Kyabram,"28 Unwin St, KYABRAM, VIC 3620",KYABRAM,3620,Centre-Based Care,74
Aussie Kindies Early Learning Stawell,"1-11 O'Callaghan Street, STAWELL, VIC 3380",STAWELL,3380,Centre-Based Care,78
Aussie Kindies Early Learning Sunbury,"5 Spavin Drive, SUNBURY, VIC 3429",SUNBURY,3429,Centre-Based Care,78
Aussie Kindies Early Learning Werribee,"81 Ballan Road, WERRIBEE, VIC 3030",WERRIBEE,3030,Centre-Based Care,75
Aussom Family Day Care Scheme,"40 Pickett St, FOOTSCRAY, VIC 3011",FOOTSCRAY,3011,Family Day Care,
Aussom Stars Family Day Care,"U 20  22-30 Wallace Ave, POINT COOK, VIC 3030",POINT COOK,3030,Family Day Care,
Austin Child Care Centre,"Studley Road, HEIDELBERG, VIC 3084",HEIDELBERG,3084,Centre-Based Care,76
Australian Christian College - Hume,"21 Sydney Rd, BENALLA, VIC 3672",BENALLA,3672,Centre-Based Care,22
Autumn Place Kindergarten,"29 Autumn Pl, DOVETON, VIC 3177",DOVETON,3177,Centre-Based Care,31
Ave Maria Kindergarten,"35 Fawkner Street, ABERFELDIE, VIC 3040",ABERFELDIE,3040,Centre-Based Care,60
Avenel Preschool,"31 Watson St, AVENEL, VIC 3664",AVENEL,3664,Centre-Based Care,28
Avoca Preschool,"22 Liebig St, AVOCA, VIC 3467",AVOCA,3467,Centre-Based Care,66
Avondale Heights Childcare and Early Learning Centre,"63 - 67 Canning Street, AVONDALE HEIGHTS, VIC 3034",AVONDALE HEIGHTS,3034,Centre-Based Care,120
Avondale Heights Early Years Centre,"2a Clarendon St, AVONDALE HEIGHTS, VIC 3034",AVONDALE HEIGHTS,3034,Centre-Based Care,56
Avonsleigh Kindergarten,"15B Avon Road, AVONSLEIGH, VIC 3782",AVONSLEIGH,3782,Centre-Based Care,28
Awsome Family Day Care,"19 Trawool St, BOX HILL NORTH, VIC 3129",BOX HILL NORTH,3129,Family Day Care,
Axedale Preschool,"High Street, AXEDALE, VIC 3551",AXEDALE,3551,Centre-Based Care,21
Azaria Family Day Care Pty Ltd,"9/32 East Esplanade, ST ALBANS, VIC 3021",ST ALBANS,3021,Family Day Care,
AZIZA  FAMILY DAY CARE VICTORIA,"U 4  20-24 Palmerston St, MELTON, VIC 3337",MELTON,3337,Family Day Care,
Azza Family Day Care,"27 Palmers Rd, WILLIAMS LANDING, VIC 3027",WILLIAMS LANDING,3027,Family Day Care,
Baby Bells Child Care Centre,"1A Fitzpatrick Drive, ALTONA MEADOWS, VIC 3028",ALTONA MEADOWS,3028,Centre-Based Care,75
Bacchus Marsh Child Care & Kindergarten Centre,"6 Clifton Drive, BACCHUS MARSH, VIC 3340",BACCHUS MARSH,3340,Centre-Based Care,50
"Bacchus Marsh Grammar, Early Learning Centre, Woodlea","5 - 7 Quarry Road, ROCKBANK, VIC 3335",ROCKBANK,3335,Centre-Based Care,58
Bacchus Marsh Montessori Preschool,"176 Gisborne Road, BACCHUS MARSH, VIC 3340",BACCHUS MARSH,3340,Centre-Based Care,58
Bacchus Marsh OSHClub,"54-56 Lerderderg Street, BACCHUS MARSH, VIC 3340",BACCHUS MARSH,3340,Centre-Based Care,60
Back to Basics Early Learning Centre,"348 Morris Road, HOPPERS CROSSING, VIC 3029",HOPPERS CROSSING,3029,Centre-Based Care,59
Baden Powell Preschool,"Humphries Road, FRANKSTON, VIC 3199",FRANKSTON,3199,Centre-Based Care,28
Badger Creek Preschool,"368 Badger Creek Road, HEALESVILLE, VIC 3777",HEALESVILLE,3777,Centre-Based Care,29
Bairnsdale Aquatic & Recreation Centre,"80 McKean Street, BAIRNSDALE, VIC 3875",BAIRNSDALE,3875,Centre-Based Care,90
Bairnsdale Childcare & Kinder,"38 Howitt Avenue, BAIRNSDALE, VIC 3875",BAIRNSDALE,3875,Centre-Based Care,162
Bairnsdale Early Learning Centre,"72 Lucknow Street, BAIRNSDALE, VIC 3875",BAIRNSDALE,3875,Centre-Based Care,60
Bairnsdale Kindergarten,"37 Turnbull Street, BAIRNSDALE, VIC 3875",BAIRNSDALE,3875,Centre-Based Care,60
Bakery Hill Kindergarten,"82 Mair Street East, BALLARAT, VIC 3350",BALLARAT,3350,Centre-Based Care,47
Balaclava Road Child Care Centre,"205 Balaclava Road, SHEPPARTON, VIC 3630",SHEPPARTON,3630,Centre-Based Care,63
Balcombe Preschool,"144 Bay Road, MOUNT MARTHA, VIC 3934",MOUNT MARTHA,3934,Centre-Based Care,30
Ballam Park Preschool,"26 Naranga Crescent, FRANKSTON, VIC 3199",FRANKSTON,3199,Centre-Based Care,27
Ballan & District Preschool,"88 Simpson Street, BALLAN, VIC 3342",BALLAN,3342,Centre-Based Care,59
Ballan and Gordon Outside School Hours Care,"Duncan Street, BALLAN, VIC 3342",BALLAN,3342,Centre-Based Care,30
Ballan Childcare Centre,"88A Simpson Street, BALLAN, VIC 3342",BALLAN,3342,Centre-Based Care,50
Ballarat & Clarendon College Preschool,"614 Mair Street, BALLARAT, VIC 3350",BALLARAT,3350,Centre-Based Care,82
Ballarat Child Care Co-op,"1007 Armstrong Street North, BALLARAT, VIC 3350",BALLARAT,1007,Centre-Based Care,44
Ballarat City Occasional Child Care Centre,"Armstrong Street, BALLARAT, VIC 3350",BALLARAT,3350,Centre-Based Care,30
Ballarat Fidelity Club Early Learning Centre,"212 Ripon St South, BALLARAT CENTRAL, VIC 3350",BALLARAT CENTRAL,3350,Centre-Based Care,18
Ballarat Fidelity Club Kindergarten,"210 Ripon Street South, BALLARAT, VIC 3350",BALLARAT,3350,Centre-Based Care,30
